,SEG_ID,pointId,Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock,Pedestrian,Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall
0,620893,007468,1,0,4207,140,98355,50094,19,0,3067,2968,2862,0,3660,0,1156,22146,2865,180248,1426,28984,154,267773,2780,1,2,0,245132,1034,0,25721,77522,26259
0,640155,001256,3,0,761,203,127395,17022,0,0,3249,2394,1756,0,2120,0,457,3516,188,165199,1145,23331,9,294436,1814,0,6,0,178132,6582,0,34195,100392,84271
0,321574,000487,0,1,7319,1634,151149,32966,2,0,3209,4068,606,0,4904,0,347,4300,662,143291,725,48413,0,269646,7861,0,3,0,199889,658,0,73916,72232,20775
0,220418,000592,9,4,7522,1377,393915,10704,4,32,4819,12401,262,0,10237,0,3901,1061,2573,7928,7,509,13,159499,679,25,3,0,157551,131,0,146114,99920,27376
0,440025,005580,0,3,2996,2436,299756,9921,0,0,2759,190,215,0,26996,0,2907,6402,2121,81780,494,12199,400,128258,723,52,18,0,186762,2936,0,138418,131580,8254
0,200833,010235,1,2,114,369,73597,45845,1,19,465,11026,1584,0,76807,0,844,19051,23,89249,1581,3952,26,211541,3692,4,2,0,336842,2808,0,78207,76487,14437
0,721405,005056,7,2,650,225,145237,20332,6,0,3618,2922,1843,0,3660,0,2969,11135,1076,140354,2528,42722,13,241779,3208,0,0,0,188552,387,0,65077,117276,52998
0,321332,000621,53,1,2557,585,243475,49199,227,0,2883,2557,972,0,61883,0,6069,18160,1134,63797,844,19041,48,164463,7189,1283,31,0,147962,1383,0,148256,98897,5627
0,521173,001152,6,0,2825,1204,266238,39844,1,0,1555,2606,4247,9,16030,0,3155,23305,287,191623,1574,16015,37,104044,6159,193,2,0,169361,152,0,92468,84557,21079
0,442110,010646,30,1,4111,684,144265,14396,1,0,6470,967,4878,1,7622,0,198,15055,1122,201195,899,15101,65,262415,18411,19,47,0,188323,3459,0,45888,93940,19013
0,980433,004666,0,0,3201,707,120531,50447,0,0,2431,1409,52,0,15180,0,320,10229,602,84265,221,4951,222,404380,9707,0,0,0,121596,20219,0,83503,93554,20849
0,620600,007797,3,1,46,15337,180220,5678,0,26,2110,5311,1889,0,23960,0,38,30699,55,125968,338,17382,30,89692,3426,352,0,0,268677,1060,0,129083,124719,22476
0,861007,004625,0,0,892,220,176335,1706,0,0,6354,3654,461,0,7206,0,242,2405,147,35134,257,2604,3,356634,5055,0,3,0,237353,5841,0,89446,61765,54859
0,600328,007646,2,0,3870,56,420636,46504,35,0,2651,798,466,0,5585,0,5233,13509,741,103935,1134,17066,83,172795,11201,3,2,0,118549,251,0,28893,79699,14879
0,521925,000982,1,2,3660,644,214490,21145,1,0,2587,2073,2335,53,44049,0,1871,51856,91,123937,2837,6804,112,117155,1110,167,1,0,224980,333,0,90189,124073,12020
0,541326,003201,13,11,2338,171,387401,30315,10,0,3043,7288,1922,0,69734,0,1686,10777,758,111796,245,38995,89,52256,5860,7409,13,0,140163,2114,0,86504,80154,7511
0,720096,005075,0,31,30,318,51761,27691,3,0,670,575,29,0,23366,0,1407,27998,23,152748,5387,30568,30,103746,5090,0,0,0,377636,1653,0,203315,28223,6278
0,520425,000860,47,510,973,2209,158019,12166,1,0,2169,10449,1014,0,24700,0,582,32803,25,54438,32,14281,63,131904,1619,334,40,0,308821,712,0,144143,97447,49075
0,720790,002467,1,0,576,678,113002,7852,0,1,8464,2835,2917,0,1517,0,1159,8438,39,223384,1703,19295,23,301499,1558,0,0,0,156338,502,0,67225,90216,39354
0,620704,007458,1,0,2381,474,225064,12220,1,0,6358,1912,320,0,4110,0,2353,12473,1518,146099,967,34819,45,211194,9330,0,2,0,148951,830,0,69203,108086,49865
